Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
GDP per capita (current US$),NY.GDP.PCAP.CD,Niger,NER,351.006218346786,378.200546574048,393.64342304494,417.670309304738,431.381682137856,358.958152040005,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Nigeria,NGA,2314.96353665347,2514.14862151929,2739.85218903906,2979.84415000393,3203.24429573261,2640.2907388575,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Northern Mariana Islands,MNP,..,..,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Norway,NOR,87646.2700974708,100575.117263444,101563.702677597,102910.435039364,97429.7084759454,74734.564089525,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Oman,OMN,19920.6495686354,21164.3357574377,21533.807603293,20011.3477786118,19309.6124499023,15645.0807292348,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Pakistan,PAK,1043.30020503812,1230.81542756809,1266.38075811451,1275.71274958523,1315.26762194284,1428.98863660717,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Palau,PLW,8978.9936492428,9701.05794428807,10319.9074966275,10932.6449639084,11892.6861639096,13498.661406228,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Panama,PAN,7987.06037222421,9335.69162127215,10672.3589459904,11786.6331746496,12712.431328999,13268.1137429275,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Papua New Guinea,PNG,1418.92359069215,1838.69919868665,2151.2102765496,2108.8316426359,2268.17253944302,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Paraguay,PRY,3225.59175373637,3983.4985035205,3858.03649227468,4479.95505217335,4712.87020536405,4160.60656240269,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Peru,PER,5056.2953131981,5731.69886823381,6389.63057629035,6609.71336926238,6549.3892292809,6121.86447303249,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Philippines,PHL,2145.24000707339,2371.85353662821,2604.65599683702,2786.95046841825,2872.51216471657,2899.37527818265,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Poland,POL,12597.4587924553,13891.14168806,13142.0459946086,13776.4547643996,14337.2063674308,12494.4661900747,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Portugal,PRT,22539.9960076117,23194.7409567701,20577.4026375899,21618.7353389663,22124.3670925451,19222.9355983016,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Puerto Rico,PRI,26435.7330836866,27278.8452337977,27811.5557986588,28703.7323699256,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Qatar,QAT,70870.2265835221,89115.9014908449,94407.406919562,96076.9963757655,96732.5290262219,74667.1970705737,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Romania,ROM,8297.48362072379,9200.27782470489,8558.3976056224,9585.26659264653,10011.7859226299,8972.92251840971,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Russian Federation,RUS,10674.9972024184,14212.080885022,15154.4722788295,15543.6978380394,13902.1428503026,9057.11306037766,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Rwanda,RWA,553.597457610684,606.902886399677,667.414582334439,678.998166944053,697.626501273706,697.34822808289,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Samoa,WSM,3530.57399435316,4065.9559198279,4257.30572854147,4179.59768103648,4172.21710037661,3938.54884570316,..
GDP per capita (current US$),NY.GDP.PCAP.CD,San Marino,SMR,..,..,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Sao Tome and Principe,STP,1142.18231129529,1374.13192098877,1488.04800312555,1675.74756929312,1810.72156164921,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Saudi Arabia,SAU,18753.9812332079,23256.0956126438,24883.1897146534,24646.0208730264,24406.4678217219,20481.7453220484,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Senegal,SEN,998.119695502128,1081.13151800024,1019.27223025869,1051.37642128639,1067.131753327,910.788687979603,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Serbia,SRB,5411.87740391911,6423.29178334583,5659.38020403691,6353.82638279332,6200.17322102474,5143.94992561858,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Seychelles,SYC,10804.6844747547,12189.0951601357,12845.17363161,15695.8983393592,15563.7942183676,15476.01944443,..
